"trial_type","trial_index","time_elapsed","internal_node_id","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","task","slide_name","correct_answer","difficulty","rank","items","correct","question_order","mental_demand","physical_demand","temporal_demand","performance","effort","frustration","ai_answer","confidence_rating","trust_rating","ai_certainty"
"image-keyboard-response","49","155121","0.0-49.0","","","","","","1240","img/Image121.jpg","s","standard_trial","Image121","Safe","0.26","68","7","1","","","","","","","","","","",""
"html-keyboard-response","50","156121","0.0-50.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Safe</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","51","157123","0.0-51.0","","","","","","null","
              <div style=""font-family:sans-serif; text-align:center;"">
                <p class=correct>Correct</p>
              </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","52","161124","0.0-52.0","","","","","","null","<div class=""baggage""><div>Baggage incoming</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","53","161810","0.0-53.0","","","","","","677","img/Image132.jpg","s","standard_trial","Image132","Safe","0.47","119","7","1","","","","","","","","","","",""
"html-keyboard-response","54","162810","0.0-54.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Safe</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","55","163813","0.0-55.0","","","","","","null","
              <div style=""font-family:sans-serif; text-align:center;"">
                <p class=correct>Correct</p>
              </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","56","167817","0.0-56.0","","","","","","null","<div class=""baggage""><div>Baggage incoming</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","57","169383","0.0-57.0","","","","","","1560","img/Image62.jpg","s","standard_trial","Image62","Safe","0.74","148","5","1","","","","","","","","","","",""
"html-keyboard-response","58","170386","0.0-58.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Safe</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","59","171386","0.0-59.0","","","","","","null","
              <div style=""font-family:sans-serif; text-align:center;"">
                <p class=correct>Correct</p>
              </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","60","175388","0.0-60.0","","","","","","null","<div class=""baggage""><div>Baggage incoming</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","61","177439","0.0-61.0","","","","","","2037","img/Image118.jpg","s","standard_trial","Image118","Safe","0.43","110","6","1","","","","","","","","","","",""
"html-keyboard-response","62","178440","0.0-62.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Safe</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","63","179441","0.0-63.0","","","","","","null","
              <div style=""font-family:sans-serif; text-align:center;"">
                <p class=correct>Correct</p>
              </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","64","183442","0.0-64.0","","","","","","null","<div class=""baggage""><div>Baggage incoming</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","65","185415","0.0-65.0","","","","","","1964","img/Image150.jpg","d","standard_trial","Image150","Danger","0.42","104","9","1","","","","","","","","","","",""
"html-keyboard-response","66","186452","0.0-66.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Danger</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","67","187455","0.0-67.0","","","","","","null","
              <div style=""font-family:sans-serif; text-align:center;"">
                <p class=correct>Correct</p>
              </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","68","191456","0.0-68.0","","","","","","null","<div class=""baggage""><div>Baggage incoming</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","69","192410","0.0-69.0","","","","","","943","img/Image85.jpg","d","standard_trial","Image85","Danger","0.3","80","6","1","","","","","","","","","","",""
"html-keyboard-response","70","193468","0.0-70.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Danger</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","71","194471","0.0-71.0","","","","","","null","
              <div style=""font-family:sans-serif; text-align:center;"">
                <p class=correct>Correct</p>
              </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","72","198473","0.0-72.0","","","","","","null","<div class=""baggage""><div>Baggage incoming</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","73","199387","0.0-73.0","","","","","","906","img/Image21.jpg","s","standard_trial","Image21","Safe","0.04","3","3","1","","","","","","","","","","",""
"html-keyboard-response","74","200389","0.0-74.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Safe</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","75","201390","0.0-75.0","","","","","","null","
              <div style=""font-family:sans-serif; text-align:center;"">
                <p class=correct>Correct</p>
              </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","76","205392","0.0-76.0","","","","","","null","<div class=""baggage""><div>Baggage incoming</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","77","206558","0.0-77.0","","","","","","1156","img/Image42.jpg","s","standard_trial","Image42","Safe","0.07","23","5","1","","","","","","","","","","",""
"html-keyboard-response","78","207558","0.0-78.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Safe</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","79","208560","0.0-79.0","","","","","","null","
              <div style=""font-family:sans-serif; text-align:center;"">
                <p class=correct>Correct</p>
              </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","80","212561","0.0-80.0","","","","","","null","<div class=""baggage""><div>Baggage incoming</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","81","213402","0.0-81.0","","","","","","832","img/Image124.jpg","s","standard_trial","Image124","Safe","0.45","117","6","1","","","","","","","","","","",""
"html-keyboard-response","82","214403","0.0-82.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Safe</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","83","215405","0.0-83.0","","","","","","null","
              <div style=""font-family:sans-serif; text-align:center;"">
                <p class=correct>Correct</p>
              </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","84","216288","0.0-84.0","","","","","","882","
              <div style=""font-family:sans-serif; text-align:center; margin-top:100px;"">
                <h2>Block Feedback</h2>
                <p style=""font-size:3em; font-weight:bold; margin-top:20px;"">10 / 10</p>
                <p><em>Press any key to continue.</em></p>
              </div>","s","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","85","220289","0.0-85.0","","","","","","null","<div class=""baggage""><div>Baggage incoming</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","86","222352","0.0-86.0","","","","","","2052","img/Image127.jpg","s","standard_trial","Image127","Safe","0.44","114","7","1","","","","","","","","","","",""
"html-keyboard-response","87","223405","0.0-87.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Safe</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","88","224406","0.0-88.0","","","","","","null","
              <div style=""font-family:sans-serif; text-align:center;"">
                <p class=correct>Correct</p>
              </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","89","228410","0.0-89.0","","","","","","null","<div class=""baggage""><div>Baggage incoming</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","90","230489","0.0-90.0","","","","","","2070","img/Image80.jpg","d","standard_trial","Image80","Danger","0.14","45","6","1","","","","","","","","","","",""
"html-keyboard-response","91","231491","0.0-91.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Danger</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","92","232492","0.0-92.0","","","","","","null","
              <div style=""font-family:sans-serif; text-align:center;"">
                <p class=correct>Correct</p>
              </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","93","236494","0.0-93.0","","","","","","null","<div class=""baggage""><div>Baggage incoming</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","94","237721","0.0-94.0","","","","","","1215","img/Image123.jpg","s","standard_trial","Image123","Safe","0.34","90","7","1","","","","","","","","","","",""
"html-keyboard-response","95","238723","0.0-95.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Safe</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","96","239724","0.0-96.0","","","","","","null","
              <div style=""font-family:sans-serif; text-align:center;"">
                <p class=correct>Correct</p>
              </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","97","243726","0.0-97.0","","","","","","null","<div class=""baggage""><div>Baggage incoming</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","98","244742","0.0-98.0","","","","","","1005","img/Image3.jpg","s","standard_trial","Image3","Safe","0.08","26","4","1","","","","","","","","","","",""
"html-keyboard-response","99","245744","0.0-99.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Safe</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","100","246745","0.0-100.0","","","","","","null","
              <div style=""font-family:sans-serif; text-align:center;"">
                <p class=correct>Correct</p>
              </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","101","250746","0.0-101.0","","","","","","null","<div class=""baggage""><div>Baggage incoming</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","102","252428","0.0-102.0","","","","","","1673","img/Image140.jpg","d","standard_trial","Image140","Danger","0.28","77","9","1","","","","","","","","","","",""
"html-keyboard-response","103","253429","0.0-103.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Danger</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","104","254431","0.0-104.0","","","","","","null","
              <div style=""font-family:sans-serif; text-align:center;"">
                <p class=correct>Correct</p>
              </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","105","258432","0.0-105.0","","","","","","null","<div class=""baggage""><div>Baggage incoming</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","106","259611","0.0-106.0","","","","","","1168","img/Image126.jpg","s","standard_trial","Image126","Safe","0.21","57","8","1","","","","","","","","","","",""
"html-keyboard-response","107","260613","0.0-107.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Safe</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","108","261615","0.0-108.0","","","","","","null","
              <div style=""font-family:sans-serif; text-align:center;"">
                <p class=correct>Correct</p>
              </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","109","265615","0.0-109.0","","","","","","null","<div class=""baggage""><div>Baggage incoming</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","110","267250","0.0-110.0","","","","","","1625","img/Image34.jpg","s","standard_trial","Image34","Safe","0.55","134","5","1","","","","","","","","","","",""
"html-keyboard-response","111","268250","0.0-111.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Safe</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","112","269252","0.0-112.0","","","","","","null","
              <div style=""font-family:sans-serif; text-align:center;"">
                <p class=correct>Correct</p>
              </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","113","273253","0.0-113.0","","","","","","null","<div class=""baggage""><div>Baggage incoming</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","114","274539","0.0-114.0","","","","","","1277","img/Image50.jpg","s","standard_trial","Image50","Safe","0.27","73","5","1","","","","","","","","","","",""
"html-keyboard-response","115","275540","0.0-115.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Safe</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","116","276541","0.0-116.0","","","","","","null","
              <div style=""font-family:sans-serif; text-align:center;"">
                <p class=correct>Correct</p>
              </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","117","280543","0.0-117.0","","","","","","null","<div class=""baggage""><div>Baggage incoming</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","118","281381","0.0-118.0","","","","","","829","img/Image36.jpg","s","standard_trial","Image36","Safe","0.32","85","4","1","","","","","","","","","","",""
"html-keyboard-response","119","282382","0.0-119.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Safe</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","120","283383","0.0-120.0","","","","","","null","
              <div style=""font-family:sans-serif; text-align:center;"">
                <p class=correct>Correct</p>
              </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","121","287385","0.0-121.0","","","","","","null","<div class=""baggage""><div>Baggage incoming</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","122","288296","0.0-122.0","","","","","","900","img/Image28.jpg","d","standard_trial","Image28","Danger","0.05","6","4","1","","","","","","","","","","",""
"html-keyboard-response","123","289298","0.0-123.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Danger</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","124","290299","0.0-124.0","","","","","","null","
              <div style=""font-family:sans-serif; text-align:center;"">
                <p class=correct>Correct</p>
              </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","125","292082","0.0-125.0","","","","","","1782","
              <div style=""font-family:sans-serif; text-align:center; margin-top:100px;"">
                <h2>Block Feedback</h2>
                <p style=""font-size:3em; font-weight:bold; margin-top:20px;"">10 / 10</p>
                <p><em>Press any key to continue.</em></p>
              </div>","s","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","126","293620","0.0-126.0","","","","","","1537","
              <div style=""font-family:sans-serif; text-align:center; margin-top:100px;"">
                <h2>Total Performance</h2>
                <p style=""font-size:3em; font-weight:bold; margin-top:20px;"">30 / 30</p>
                <p><em>Press any key to continue.</em></p>
              </div>","s","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","127","294975","0.0-127.0","","","","","","1354","
      <div>
        <h1>Block No-AI</h1>
        <p><em>Press any key to begin.</em></p>
      </div>","s","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","128","298977","0.0-128.0","","","","","","null","<div class=""baggage""><div>Baggage incoming</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","129","299998","0.0-129.0","","","","","","1013","img/Image72.jpg","s","standard_trial","Image72","Safe","0.31","83","5","1","","","","","","","","","","",""
"html-keyboard-response","130","300999","0.0-130.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Safe</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","131","305002","0.0-131.0","","","","","","null","<div class=""baggage""><div>Baggage incoming</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","132","306493","0.0-132.0","","","","","","1483","img/Image38.jpg","s","standard_trial","Image38","Safe","0.71","145","6","1","","","","","","","","","","",""
"html-keyboard-response","133","307495","0.0-133.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Safe</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","134","311497","0.0-134.0","","","","","","null","<div class=""baggage""><div>Baggage incoming</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","135","312806","0.0-135.0","","","","","","1299","img/Image142.jpg","d","standard_trial","Image142","Danger","0.51","127","9","1","","","","","","","","","","",""
"html-keyboard-response","136","313807","0.0-136.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Danger</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","137","317808","0.0-137.0","","","","","","null","<div class=""baggage""><div>Baggage incoming</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","138","319084","0.0-138.0","","","","","","1263","img/Image91.jpg","s","standard_trial","Image91","Safe","0.23","62","7","1","","","","","","","","","","",""
"html-keyboard-response","139","320085","0.0-139.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Safe</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","140","324087","0.0-140.0","","","","","","null","<div class=""baggage""><div>Baggage incoming</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","141","325176","0.0-141.0","","","","","","1076","img/Image149.jpg","d","standard_trial","Image149","Danger","0.3","81","9","1","","","","","","","","","","",""
"html-keyboard-response","142","326177","0.0-142.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Danger</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","143","330179","0.0-143.0","","","","","","null","<div class=""baggage""><div>Baggage incoming</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","144","331676","0.0-144.0","","","","","","1483","img/Image43.jpg","s","standard_trial","Image43","Safe","0.43","107","5","1","","","","","","","","","","",""
"html-keyboard-response","145","332678","0.0-145.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Safe</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","146","336679","0.0-146.0","","","","","","null","<div class=""baggage""><div>Baggage incoming</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","147","337776","0.0-147.0","","","","","","1087","img/Image63.jpg","s","standard_trial","Image63","Safe","0.33","87","6","1","","","","","","","","","","",""
"html-keyboard-response","148","338778","0.0-148.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Safe</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","149","342779","0.0-149.0","","","","","","null","<div class=""baggage""><div>Baggage incoming</div></div>","null","","","","","","","","","","","","","","","","","",""
