"trial_type","trial_index","time_elapsed","internal_node_id","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","task","slide_name","correct_answer","ai_answer","difficulty","rank","items","correct","ai_certainty","question_order","confidence_rating","trust_rating","mental_demand","physical_demand","temporal_demand","performance","effort","frustration"
"html-keyboard-response","63","53618","0.0-63.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Safe</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","64","54620","0.0-64.0","","","","","","null","<div class=""baggage"">Baggage incoming</div> <div class=""ai-pipeline""><div>Initializing runtime environment</div>  <div>Loading image</div>  <div>Searching database</div>  <div>Comparing patterns</div>  <div>Resolving output</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","65","55178","0.0-65.0","","","","","","544","img_transparent/Image73.jpg","s","transparent_trial","Image73","Safe","Safe","0.47","122","4","1","85","","","","","","","","",""
"html-keyboard-response","66","55679","0.0-66.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Safe</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"survey-likert","67","59286","0.0-67.0","","","","","","3604","","{""confidence"":5,""trust"":4}","questionnaire","","","","","","","","","[0,1]","","","","","","","",""
"html-keyboard-response","68","59841","0.0-68.0","","","","","","552","
              <div style=""font-family:sans-serif; text-align:center; margin-top:100px;"">
                <h2>Block Feedback</h2>
                <p style=""font-size:3em; font-weight:bold; margin-top:20px;"">10 / 10</p>
                <p><em>Press any key to continue.</em></p>
              </div>","s","","","","","","","","","","","","","","","","","",""
"survey-likert","69","63033","0.0-69.0","","","","","","3192","","{""confidence"":5,""trust"":6}","questionnaire","","","","","","","","","[0,1]","","","","","","","",""
"html-keyboard-response","70","64036","0.0-70.0","","","","","","null","<div class=""baggage"">Baggage incoming</div> <div class=""ai-pipeline""><div>Initializing runtime environment</div>  <div>Loading image</div>  <div>Searching database</div>  <div>Comparing patterns</div>  <div>Resolving output</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","71","64508","0.0-71.0","","","","","","463","img_transparent/Image75.jpg","s","transparent_trial","Image75","Safe","Safe","0.31","84","4","1","90","","","","","","","","",""
"html-keyboard-response","72","65027","0.0-72.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Safe</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","73","66045","0.0-73.0","","","","","","null","<div class=""baggage"">Baggage incoming</div> <div class=""ai-pipeline""><div>Initializing runtime environment</div>  <div>Loading image</div>  <div>Searching database</div>  <div>Comparing patterns</div>  <div>Resolving output</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","74","66535","0.0-74.0","","","","","","477","img_transparent/Image39.jpg","s","transparent_trial","Image39","Safe","Safe","0.2","54","7","1","94","","","","","","","","",""
"html-keyboard-response","75","67060","0.0-75.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Safe</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","76","68064","0.0-76.0","","","","","","null","<div class=""baggage"">Baggage incoming</div> <div class=""ai-pipeline""><div>Initializing runtime environment</div>  <div>Loading image</div>  <div>Searching database</div>  <div>Comparing patterns</div>  <div>Resolving output</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","77","68453","0.0-77.0","","","","","","373","img_transparent/Image136.jpg","s","transparent_trial","Image136","Safe","Safe","0.55","135","8","1","83","","","","","","","","",""
"html-keyboard-response","78","68953","0.0-78.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Safe</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","79","69955","0.0-79.0","","","","","","null","<div class=""baggage"">Baggage incoming</div> <div class=""ai-pipeline""><div>Initializing runtime environment</div>  <div>Loading image</div>  <div>Searching database</div>  <div>Comparing patterns</div>  <div>Resolving output</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","80","70505","0.0-80.0","","","","","","538","img_transparent/Image132.jpg","s","transparent_trial","Image132","Safe","Safe","0.47","119","7","1","85","","","","","","","","",""
"html-keyboard-response","81","71006","0.0-81.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Safe</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","82","72109","0.0-82.0","","","","","","null","<div class=""baggage"">Baggage incoming</div> <div class=""ai-pipeline""><div>Initializing runtime environment</div>  <div>Loading image</div>  <div>Searching database</div>  <div>Comparing patterns</div>  <div>Resolving output</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","83","72650","0.0-83.0","","","","","","530","img_transparent/Image134.jpg","s","transparent_trial","Image134","Safe","Safe","0.26","69","7","1","92","","","","","","","","",""
"html-keyboard-response","84","73151","0.0-84.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Safe</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","85","74152","0.0-85.0","","","","","","null","<div class=""baggage"">Baggage incoming</div> <div class=""ai-pipeline""><div>Initializing runtime environment</div>  <div>Loading image</div>  <div>Searching database</div>  <div>Comparing patterns</div>  <div>Resolving output</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","86","74670","0.0-86.0","","","","","","503","img_transparent/Image133.jpg","s","transparent_trial","Image133","Safe","Safe","0.35","92","6","1","89","","","","","","","","",""
"html-keyboard-response","87","75171","0.0-87.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Safe</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","88","76172","0.0-88.0","","","","","","null","<div class=""baggage"">Baggage incoming</div> <div class=""ai-pipeline""><div>Initializing runtime environment</div>  <div>Loading image</div>  <div>Searching database</div>  <div>Comparing patterns</div>  <div>Resolving output</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","89","76640","0.0-89.0","","","","","","458","img_transparent/Image40.jpg","s","transparent_trial","Image40","Safe","Safe","0.07","18","5","1","98","","","","","","","","",""
"html-keyboard-response","90","77141","0.0-90.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Safe</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","91","78174","0.0-91.0","","","","","","null","<div class=""baggage"">Baggage incoming</div> <div class=""ai-pipeline""><div>Initializing runtime environment</div>  <div>Loading image</div>  <div>Searching database</div>  <div>Comparing patterns</div>  <div>Resolving output</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","92","78663","0.0-92.0","","","","","","480","img_transparent/Image89.jpg","s","transparent_trial","Image89","Danger","Danger","0.27","74","6","0","92","","","","","","","","",""
"html-keyboard-response","93","79185","0.0-93.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Safe</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","94","80188","0.0-94.0","","","","","","null","<div class=""baggage"">Baggage incoming</div> <div class=""ai-pipeline""><div>Initializing runtime environment</div>  <div>Loading image</div>  <div>Searching database</div>  <div>Comparing patterns</div>  <div>Resolving output</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","95","80683","0.0-95.0","","","","","","488","img_transparent/Image18.jpg","s","transparent_trial","Image18","Safe","Safe","0.05","5","3","1","98","","","","","","","","",""
"html-keyboard-response","96","81196","0.0-96.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Safe</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","97","82200","0.0-97.0","","","","","","null","<div class=""baggage"">Baggage incoming</div> <div class=""ai-pipeline""><div>Initializing runtime environment</div>  <div>Loading image</div>  <div>Searching database</div>  <div>Comparing patterns</div>  <div>Resolving output</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","98","82731","0.0-98.0","","","","","","521","img_transparent/Image16.jpg","s","transparent_trial","Image16","Safe","Safe","0.05","8","4","1","98","","","","","","","","",""
"html-keyboard-response","99","83232","0.0-99.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Safe</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"survey-likert","100","87021","0.0-100.0","","","","","","3787","","{""confidence"":3,""trust"":5}","questionnaire","","","","","","","","","[0,1]","","","","","","","",""
"html-keyboard-response","101","87686","0.0-101.0","","","","","","663","
              <div style=""font-family:sans-serif; text-align:center; margin-top:100px;"">
                <h2>Block Feedback</h2>
                <p style=""font-size:3em; font-weight:bold; margin-top:20px;"">9 / 10</p>
                <p><em>Press any key to continue.</em></p>
              </div>","s","","","","","","","","","","","","","","","","","",""
"survey-likert","102","91025","0.0-102.0","","","","","","3337","","{""confidence"":4,""trust"":6}","questionnaire","","","","","","","","","[0,1]","","","","","","","",""
"html-keyboard-response","103","92028","0.0-103.0","","","","","","null","<div class=""baggage"">Baggage incoming</div> <div class=""ai-pipeline""><div>Initializing runtime environment</div>  <div>Loading image</div>  <div>Searching database</div>  <div>Comparing patterns</div>  <div>Resolving output</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","104","92674","0.0-104.0","","","","","","624","img_transparent/Image103.jpg","s","transparent_trial","Image103","Safe","Safe","0.15","46","7","1","95","","","","","","","","",""
"html-keyboard-response","105","93175","0.0-105.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Safe</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","106","94176","0.0-106.0","","","","","","null","<div class=""baggage"">Baggage incoming</div> <div class=""ai-pipeline""><div>Initializing runtime environment</div>  <div>Loading image</div>  <div>Searching database</div>  <div>Comparing patterns</div>  <div>Resolving output</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","107","94814","0.0-107.0","","","","","","629","img_transparent/Image148.jpg","d","transparent_trial","Image148","Danger","Danger","0.28","78","9","1","91","","","","","","","","",""
"html-keyboard-response","108","95314","0.0-108.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Danger</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","109","96315","0.0-109.0","","","","","","null","<div class=""baggage"">Baggage incoming</div> <div class=""ai-pipeline""><div>Initializing runtime environment</div>  <div>Loading image</div>  <div>Searching database</div>  <div>Comparing patterns</div>  <div>Resolving output</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","110","96872","0.0-110.0","","","","","","538","img_transparent/Image48.jpg","s","transparent_trial","Image48","Safe","Safe","0.24","65","6","1","93","","","","","","","","",""
"html-keyboard-response","111","97372","0.0-111.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Safe</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","112","98373","0.0-112.0","","","","","","null","<div class=""baggage"">Baggage incoming</div> <div class=""ai-pipeline""><div>Initializing runtime environment</div>  <div>Loading image</div>  <div>Searching database</div>  <div>Comparing patterns</div>  <div>Resolving output</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","113","98848","0.0-113.0","","","","","","461","img_transparent/Image59.jpg","s","transparent_trial","Image59","Safe","Safe","0.27","75","6","1","92","","","","","","","","",""
"html-keyboard-response","114","99349","0.0-114.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Safe</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","115","100349","0.0-115.0","","","","","","null","<div class=""baggage"">Baggage incoming</div> <div class=""ai-pipeline""><div>Initializing runtime environment</div>  <div>Loading image</div>  <div>Searching database</div>  <div>Comparing patterns</div>  <div>Resolving output</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","116","100907","0.0-116.0","","","","","","548","img_transparent/Image67.jpg","s","transparent_trial","Image67","Safe","Safe","0.13","41","5","1","96","","","","","","","","",""
"html-keyboard-response","117","101408","0.0-117.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Safe</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","118","102409","0.0-118.0","","","","","","null","<div class=""baggage"">Baggage incoming</div> <div class=""ai-pipeline""><div>Initializing runtime environment</div>  <div>Loading image</div>  <div>Searching database</div>  <div>Comparing patterns</div>  <div>Resolving output</div></div>","null","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","119","102978","0.0-119.0","","","","","","560","img_transparent/Image85.jpg","d","transparent_trial","Image85","Danger","Danger","0.3","80","6","1","91","","","","","","","","",""
"html-keyboard-response","120","103479","0.0-120.0","","","","","","null","
            <div class=""response-container"">
            <p class=""response-label"">Your answer:</p>
              <p class=""response"">Danger</p>
            </div>","null","","","","","","","","","","","","","","","","","",""
